Duration (in seconds),QID6,QID7,QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,QID270,QID271,QID273,QID274,QID276,QID277,QID279,QID280,QID282,QID283,QID285,QID286,QID288,QID289,QID291,QID292,QID294,QID295,QID300,QID301,QID297,QID298,QID303,QID304,QID306,QID307,QID309,QID310,QID312,QID313,QID315,QID316,QID318,QID319,QID321,QID322,QID324,QID325,QID327,QID328,QID330,QID331,QID333,QID334,QID336,QID337,QID339,QID340,QID342,QID343,QID345,QID346,QID348,QID349,QID351,QID352,QID354,QID355,QID357,QID358,QID360,QID361,mTurkCode
172,wicked,3,,,,,,,,,,,,,,,,,,,,,,,inspirational,4,,,,,cute,3,,,,,sexy,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,successful,4,,,,,,,,,,,gorgeous,4,,,,,,,talented,4,,,,,,,,,weird,2.5,,,,,,,,,faithful,2,,,successful,4,,,,,,,,,peaceful,3,,,,,,,,,fancy,2,,,,,,,,,,,,,,,,,rough,3,,,,,,,,,,,,,,,,,,,,,,,,,,,funny,4,clever,4,,,,,,,,,excited,2,,,,,,,,,faithful,3,talented,4,,,,,,,,,,,,,strong,3,,,,,,,,,,,,,,,safe,3,,,
302,lovely,1,faithful,2,,,,,,,,,excited,1,,,lazy,1,,,,,ancient,1,,,peaceful,1,,,,,,,,,heavy,1,,,,,,,,,,,,,,,,,strong,1,,,,,,,excited,1,,,,,,,,,,,,,,,,,,,gorgeous,2,,,,,,,,,,,shy,1,,,,,,,cute,3,,,,,,,,,,,successful,1,,,,,,,,,,,,,,,,,,,,,,,ancient,3,,,confused,1,,,,,,,,,rough,3,,,,,,,,,cute,1,,,,,,,,,,,,,,,,,,,,,,,,,faithful,1,,,excited,1,,,,,,,,,,,,,,,,,,,cute,3,,,,,,,,,,,,,,,,,,,,,,,,,
362,lovely,1,,,,,,,,,,,,,,,,,,,,,,,,,,,dumb,2,,,hungry,2,,,,,,,,,,,proud,1,,,,,,,,,,,,,,,,,,,,,,,clever,4,,,adorable,3,loud,2,,,,,talented,5,,,,,,,,,,,,,,,,,hungry,2,,,,,,,,,cute,3,,,,,,,clever,3,,,,,,,smooth,4,,,,,wet,3,,,,,cute,3,,,,,,,,,,,,,,,,,,,,,talented,2,,,,,peaceful,1,,,,,,,,,,,faithful,5,,,,,,,,,,,,,,,,,cute,3,,,,,,,,,,,outdoor,2,,,,,,,,,,,,,,,,,excellent,1,,,,,,,,,,,,,
333,wicked,1,,,,,,,,,,,,,,,strong,1,gorgeous,1,,,,,,,,,,,,,,,,,,,,,,,,,strange,2,lonely,1,,,,,,,,,,,,,,,,,,,gorgeous,2,,,,,inspirational,2,,,,,,,,,,,,,heavy,2,,,,,,,,,,,hungry,2,dry,1,,,,,,,,,,,,,,,dumb,1,,,,,,,smooth,2,jealous,1,,,wet,3,,,,,,,,,,,,,,,,,stunning,1,,,,,nasty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,3,,,,,,,,,,,hungry,1,,,,,,,cute,2,loud,2,,,
381,wicked,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,4,,,,,proud,1,,,strong,3,,,,,,,,,inspirational,4,,,,,,,,,successful,4,,,,,,,,,,,,,,,bright,5,loud,3,,,,,,,hilarious,3,,,,,,,faithful,4,tired,1,,,,,fresh,2,,,,,christian,1,,,hungry,2,,,safe,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peaceful,2,,,,,,,,,,,inspirational,4,proud,2,,,,,,,,,excited,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,healthy,3,,,,,,,,,,,,,,,,,,,,,,,
353,wicked,2,,,,,,,,,,,,,,,ancient,2,,,,,cute,2,,,,,stunning,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clever,3,successful,3,,,,,,,,,,,,,,,,,,,,,cute,4,,,,,,,,,cute,3,,,tired,1,,,,,,,,,hilarious,2,funny,2,,,,,,,,,,,,,,,,,,,,,,,,,,,faithful,3,,,,,,,,,,,talented,2,,,,,,,,,,,holy,3,,,,,,,,,inspirational,2,,,excited,3,,,,,,,,,,,,,,,bad,2,,,,,,,,,tired,2,,,,,,,,,,,,,,,inspirational,2,,,bitter,2,,,,,,,
443,clever,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,5,,,,,,,,,,,,,proud,3,,,,,strong,1,,,,,,,,,smooth,2,,,,,,,,,,,,,proud,1,,,lonely,1,,,,,,,,,,,,,,,sick,2,,,,,weird,1,,,,,,,,,,,,,shy,,,,,,,,,,,,,,,,safe,1,,,,,,,,,strong,1,,,,,,,,,,,adorable,3,,,,,,,,,cute,2,,,faithful,1,,,,,,,,,,,,,,,pretty,1,,,,,,,,,,,,,,,,,,,strong,3,,,,,,,,,,,,,peaceful,1,,,,,,,,,,,,,,,strong,1,outdoor,2,,,
468,wicked,1,,,,,,,,,,,,,talented,5,,,,,,,,,,,,,nasty,2,,,,,,,,,,,,,,,,,,,,,,,,,insane,1,,,innocent,1,,,,,,,,,,,,,,,loud,2,peaceful,4,,,,,,,,,heavy,1,,,,,,,,,jealous,3,,,,,cute,5,,,,,,,,,,,,,clever,3,,,,,,,,,,,,,,,stunning,5,,,cute,4,,,,,extreme,4,,,,,,,dirty,3,,,,,,,,,,,,,hilarious,4,,,,,,,,,,,,,,,,,,,excited,5,,,,,,,,,,,,,,,,,,,,,,,,,evil,1,,,faithful,4,crazy,2,,,,,,,,,,,,,,,,,,,,,
466,comfortable,3,,,,,,,,,,,,,,,,,,,,,cute,3,,,,,stunning,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,successful,3,,,,,,,,,,,,,,,,,,,,,clever,2,,,,,,,,,outdoor,1,,,tired,2,,,faithful,1,,,,,,,funny,2,strange,2,,,,,,,,,,,,,,,,,,,,,,,,,,,stunning,3,,,,,,,,,insane,1,,,,,,,,,,,,,,,,,,,,,inspirational,3,,,excited,3,,,,,,,,,,,,,,,dry,2,,,,,,,,,tired,2,,,,,,,,,safe,2,,,,,dirty,3,,,bitter,1,,,,,cute,3,
491,wicked,1,faithful,3,gorgeous,2,,,,,,,,,talented,3,,,,,,,,,,,,,,,,,,,,,,,,,adorable,3,strong,1,,,,,,,,,safe,3,,,proud,1,innocent,1,,,,,,,,,,,,,,,,,,,,,talented,1,gorgeous,3,,,,,,,,,,,,,hilarious,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stunning,3,,,,,,,,,extreme,1,,,,,,,dirty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,1,,,divine,3,,,,,,,,,,,,,,,,,,,,,strong,1,,,ugly,1,excellent,3,,,,,,,,,,,,,
455,lovely,4,,,,,,,jealous,2,,,hilarious,3,,,,,,,,,,,,,,,,,,,,,,,heavy,2,,,,,adorable,4,,,,,,,,,,,,,proud,4,,,inspirational,5,,,,,,,clever,3,,,,,,,,,,,,,,,,,,,,,talented,4,,,,,hilarious,3,,,,,,,,,,,excited,2,deadly,2,fresh,3,successful,3,,,,,,,,,,,,,,,,,,,,,,,confused,1,gorgeous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proud,1,,,,,,,,,,,tired,,,,,,,,,,,,,,,,,,talented,4,creepy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,wicked,4,,,,,,,adorable,4,,,,,,,,,,,,,,,,,,,,,,,,,,,insane,1,ancient,3,,,strong,2,,,,,,,,,,,,,,,innocent,2,,,,,,,gorgeous,5,,,,,,,,,,,proud,2,,,,,,,,,stunning,4,,,,,,,,,,,,,,,,,stupid,1,,,shy,1,,,,,,,,,,,tired,3,,,,,evil,3,,,,,,,,,,,,,confused,1,proud,2,,,dry,1.5,,,,,loud,3,,,,,,,,,,,,,faithful,1,,,inspirational,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ugly,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,comfortable,3,,,wicked,3,clever,4,,,excited,3,,,,,,,,,,,,,,,,,,,,,,,attractive,3,,,loud,3.5,,,,,,,,,clean,4,,,hungry,3,,,,,innocent,3,,,,,,,,,,,,,,,,,,,proud,3,,,,,sleepy,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jealous,2,,,,,,,,,,,stunning,3,fancy,2,,,,,,,,,proud,3,,,,,,,,,,,inspirational,4,,,,,,,,,,,faithful,3,,,,,,,,,excited,4,,,,,,,,,,,,,,,,,divine,4,,,,,,,,,,,,,,,,,,,,,,,lonely,3,,,,,,,,,,,,,,,,,
427,comfortable,1,,,,,,,ancient,1,excited,2,,,,,,,,,,,,,inspirational,4,,,,,,,,,,,heavy,1,christian,3,,,,,,,lonely,1,,,,,,,,,,,,,,,excited,2,,,gorgeous,2,,,,,,,,,clear,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peaceful,1,,,,,,,,,,,,,,,,,,,,,,,faithful,3,,,,,,,,,,,,,,,,,hilarious,4,,,,,,,,,proud,1,,,clean,1,,,,,,,,,sick,1,creepy,2,,,,,,,,,,,,,,,deadly,1,successful,1,,,cute,2,,,,,,,,,,,,,,,,,,,,,,,,,
250,lovely,5,faithful,5,,,strange,1,,,,,,,,,,,illegal,4,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,3,,,,,hungry,5,,,,,,,,,,,,,,,,,sleepy,5,,,,,,,,,,,,,sleepy,5,,,,,talented,4,,,,,,,,,,,,,,,,,,,,,,,,,,,funny,5,,,,,,,,,,,,,,,,,cute,5,,,innocent,4,,,,,,,,,,,,,,,inspirational,5,,,,,,,,,,,,,,,,,,,,,,,funny,5,,,,,,,,,,,,,,,excellent,5,dirty,5,,,,,,,,,,,,,,,,,,,strong,5,,,,,hungry,5,dirty,4,,,,,cute,5,,,,,
496,lovely,1,,,,,,,,,,,,,,,,,ancient,2,holy,3,,,,,,,,,,,shy,2,,,,,,,,,,,,,,,ancient,2,,,,,strong,2,,,,,,,,,,,,,,,,,talented,3,,,,,,,,,,,peaceful,3,,,dirty,2,,,,,,,,,hungry,2,,,,,gorgeous,2,,,cute,3,,,,,,,,,,,,,,,,,jealous,3,fat,4,,,,,dry,1,,,ancient,4,,,,,,,,,,,,,,,,,inspirational,2,,,,,,,,,,,,,,,,,proud,2,,,,,,,,,,,dirty,3,,,,,,,,,,,dry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,comfortable,2,,,,,clever,1,,,lazy,1,,,,,,,,,,,,,,,,,,,,,,,excited,1,,,,,,,,,,,,,ancient,3,,,hungry,2,,,,,sick,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,2,,,,,,,,,,,,,,,,,,,,,,,,,,,deadly,2,,,,,,,,,,,,,,,,,,,gorgeous,4,,,proud,3,,,,,,,,,nasty,1,inspirational,3,,,,,,,,,,,faithful,1,,,,,,,,,clean,2,,,,,,,,,,,,,,,,,divine,3,,,dumb,1,,,,,,,,,,,,,,,violent,2,,,,,,,,,dirty,2,hilarious,2,,,,,,,,,
419,comfortable,1,,,,,,,,,,,,,,,,,,,tired,1,,,,,,,,,,,sweet,1,,,,,,,,,,,,,,,,,,,,,insane,2,,,,,,,,,,,,,safe,3,,,,,,,,,,,,,sexy,3,,,heavy,1,,,,,cute,3,,,,,,,weird,1,cute,2,,,,,,,,,,,,,,,,,deadly,2,,,,,,,,,,,,,insane,1,,,,,,,,,,,,,,,dirty,3,,,,,,,,,,,,,,,faithful,1,,,,,,,,,,,,,,,,,,,dirty,3,faithful,1,creepy,3,rough,1,cute,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safe,2,,,
658,lovely,2,,,,,,,,,,,,,,,,,gorgeous,1,tired,1,cute,3,,,,,,,cute,1.5,,,attractive,1,,,,,,,adorable,1,,,,,,,,,,,,,proud,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hungry,4,sad,1,,,,,,,,,shy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faithful,3,,,,,,,,,,,,,,,,,,,,,excited,1,,,,,,,,,,,inspirational,4,clever,3,,,sexy,1,,,,,,,,,,,,,,,,,talented,3,,,,,,,cute,3,,,,,stunning,3,,,,,,,,,,,,,,,,,cute,2,
195,clever,3,,,,,,,,,,,,,,,,,,,,,cute,4,,,,,,,,,,,,,sexy,2,loud,3,,,,,,,,,,,,,safe,3,,,,,adorable,4,,,,,,,,,clever,4,,,,,insane,3,,,proud,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fresh,3,,,,,,,,,,,,,,,,,,,,,,,,,ancient,3,,,,,,,,,,,,,,,dry,3,,,,,,,,,,,,,,,,,,,,,,,excited,4,,,,,,,,,,,creepy,4,,,,,,,weird,3,,,faithful,3,talented,4,,,,,tired,2,,,,,,,,,,,faithful,2,,,,,dry,,,,,,,,,,
707,comfortable,3,,,,,,,,,,,,,,,,,,,,,,,,,shy,3,,,christian,3,sweet,4,,,,,,,comfortable,5,,,,,,,,,,,,,funny,1,,,,,,,,,,,,,,,,,,,loud,3,adorable,3,,,illegal,1,,,,,,,,,,,,,loud,2,,,,,,,,,faithful,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,5,,,,,,,,,faithful,4,,,tough,1,rough,4,,,,,,,,,,,,,faithful,1,,,,,,,,,,,,,,,,,,,,,faithful,2,,,,,,,,,,,,,hilarious,4,,,,,,,,,,,,,,,stunning,2,,,,,,,,,,,,,,,,,hilarious,2,
694,wicked,1,,,,,,,,,,,hilarious,4,,,,,,,,,,,,,shy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faithful,2,,,,,,,,,,,,,,,,,,,,,rough,2,,,talented,3,,,,,,,,,,,,,,,,,,,,,dying,3,,,,,,,,,,,smooth,4,,,,,,,,,,,cute,3,,,,,,,deadly,4,,,,,,,,,nasty,2,,,,,wicked,3,,,,,,,faithful,2,,,inspirational,4,,,faithful,4,,,,,,,,,,,,,,,,,cute,4,,,,,,,,,talented,5,,,adorable,5,,,,,faithful,5,,,,,,,,,,,,,hilarious,4,,,,,,,,,
391,clever,1,,,,,,,,,,,excited,1,,,strong,1,,,,,faithful,1,inspirational,3,,,,,,,,,,,,,,,,,,,proud,2,,,ancient,1,,,,,,,,,,,,,,,,,,,,,,,,,golden,1,,,,,,,,,,,,,,,,,,,,,,,hungry,1,,,,,gorgeous,4,,,excited,1,,,,,,,,,,,,,,,,,,,,,,,stunning,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,1,,,,,,,jealous,1,,,,,faithful,2,,,,,clever,3,,,,,,,,,,,,,,,,,,,,,talented,2,outdoor,1,,,,,cute,1,faithful,2,,,,,,,,,,,,,,,,,,,,,,,
262,lovely,1,,,,,,,,,,,,,talented,4,,,,,,,,,,,,,stunning,3,,,,,excited,2,,,,,adorable,2,,,,,,,,,talented,1,,,,,sleepy,3,,,,,excited,4,faithful,4,,,,,,,talented,3,,,,,,,talented,1,,,,,,,,,,,,,loud,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weird,3,,,,,,,,,,,,,,,,,,,,,fresh,2,,,,,,,peaceful,3,,,,,,,,,,,,,,,,,excited,4,,,,,,,,,,,,,,,,,,,,,bad,1,,,,,,,,,,,,,,,,,,,dumb,1,,,,,,,,,sleepy,3,,,,,cute,3,
271,clever,2,,,,,,,,,,,,,,,,,,,empty,3,,,,,,,,,,,,,,,,,,,,,,,proud,3,,,,,,,,,,,,,,,,,,,,,,,clever,4,successful,3,,,loud,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dying,5,,,,,,,,,,,,,jealous,4,,,wet,5,,,fancy,5,,,,,gorgeous,5,,,,,,,,,,,,,dying,2,,,,,,,,,,,,,,,,,inspirational,4.5,,,,,,,,,,,,,,,,,inspirational,5,dirty,3,,,,,,,,,faithful,4,talented,5,creepy,4,,,,,,,,,,,strong,3.5,,,,,excellent,5,,,,,,,,,,,,,
208,clever,2,,,,,,,,,,,,,,,,,lazy,1,,,,,inspirational,1,shy,1,stunning,1,christian,1,,,,,,,,,,,hungry,1,,,,,,,talented,1,,,insane,1,,,,,inspirational,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deadly,1,weird,1,,,,,,,safe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deadly,1,faithful,1,,,,,,,,,inspirational,1,,,,,,,peaceful,1,,,talented,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,1,safe,1,,,
