Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,QID198,QID199,QID201,QID202,QID204,QID205,QID207,QID208,QID210,QID211,QID213,QID214,QID216,QID217,QID219,QID220,QID222,QID223,QID225,QID226,QID228,QID229,QID231,QID232,QID234,QID235,QID237,QID238,QID240,QID241,QID243,QID244,QID246,QID247,QID249,QID250,QID252,QID253,QID255,QID256,QID258,QID259,QID261,QID262,QID264,QID265,QID267,QID268,random
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,2,,,clean,3,adorable,2,successful,5,weird,1,crazy,2,proud,1,divine,1,lazy,1,excited,4,,,fat,2,,,bright,5,gorgeous,2,,,healthy,2,,,holy,3,loud,1,,,christian,2,,,,,stunning,2,busy,5,,,expensive,3,717554
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,2,excited,3,clean,2,broken,2,successful,3,,,cold,2,proud,2,difficult,3,lazy,3,,,proud,2,,,,,,,,,,,healthy,3,nasty,1,funny,3,rough,1,,,,,lonely,3,busy,2,young,2,busy,3,beautiful,2,expensive,2,689526
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clean,4,broken,5,successful,4,safe,4,,,strong,4,,,lazy,3,excited,5,,,dark,5,creepy,2,bright,4,gorgeous,4,dark,5,healthy,4,strong,4,,,loud,5,healthy,5,christian,2,lonely,4,,,,,busy,5,,,extreme,4,672013
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insane,2,smooth,4,clean,4,broken,4,,,extreme,2,crazy,2,,,divine,3,,,weak,2,healthy,2,dark,1,creepy,2,,,busy,2,loud,3,healthy,3,,,holy,4,,,healthy,1,holy,2,,,strong,4,stunning,2,,,beautiful,3,,,658271
254,violent,3,excited,2,,,broken,5,,,weird,2,crazy,2,strong,4,difficult,3,faithful,2,excited,2,proud,5,,,creepy,1,bright,2,shy,3,,,,,,,funny,3,rough,3,healthy,4,holy,3,lonely,5,,,young,3,,,,,dangerous,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614164
243,violent,3,excited,3,clean,3,,,successful,3,safe,3,,,,,difficult,3,,,,,healthy,3,dark,3,healthy,3,weird,3,,,dark,3,,,strong,3,funny,3,,,healthy,3,deadly,3,lonely,3,busy,3,,,busy,3,beautiful,3,dangerous,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963863
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bitter,5,,,crazy,5,strong,5,,,faithful,5,,,healthy,5,jealous,5,lonely,5,bright,5,busy,5,dark,5,wicked,5,nasty,5,sexy,5,creepy,5,smooth,5,christian,5,insane,5,ugly,5,,,nasty,5,,,dangerous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899138
555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,5,confused,3,,,christian,4,,,weird,3,cold,5,,,faithful,4,insane,4,,,evil,4,dark,5,healthy,5,weird,2,,,dark,5,,,ugly,3,,,loud,5,healthy,5,holy,5,weird,2,ugly,3,young,5,,,dead,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790945
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,3,smooth,3,,,,,successful,3,safe,3,clever,3,proud,3,divine,3,lazy,3,,,healthy,3,dark,3,lonely,3,,,gorgeous,3,loud,3,,,strong,3,holy,3,,,,,,,lonely,3,strong,3,,,busy,3,beautiful,3,expensive,3,535800
443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,5,confused,4,,,christian,4,successful,2,weird,2,cold,5,strong,4,difficult,3,,,,,proud,2,dark,5,lonely,4,bright,2,busy,5,,,,,,,sexy,4,loud,5,healthy,2,,,lonely,4,,,proud,5,,,evil,2,expensive,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693967
451,tired,3,,,clean,2,christian,4,lonely,2,,,clever,2,proud,4,,,faithful,3,creepy,2,,,fat,1,,,,,busy,3,loud,3,healthy,3,strong,4,,,rough,4,,,,,weird,1,busy,4,young,2,busy,3,beautiful,3,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536852
511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,4,,,clean,2,,,,,,,cold,3,strong,4,divine,3,lazy,3,excited,3,,,dark,4,,,weird,2,,,dark,4,lazy,3,nasty,2,funny,2,loud,4,,,christian,3,,,ugly,2,young,4,dead,3,beautiful,2,expensive,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861738
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,4,clean,3,adorable,3,successful,3.5,safe,5,,,,,divine,4,faithful,3,excited,5,proud,5,,,,,,,busy,3,dark,5,healthy,3,strong,3,,,,,healthy,4,holy,4,weird,3,busy,4,stunning,4,busy,3,beautiful,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544543
595,insane,3,,,talented,2,broken,3,lonely,3,extreme,3,,,proud,5,difficult,4,faithful,4,,,healthy,4,fat,2,,,,,shy,3,loud,2,healthy,3,strong,4,,,,,healthy,1,,,insane,2,busy,4,young,3,,,dead,2,dangerous,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734510
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clean,4,adorable,3,,,safe,3,crazy,5,wicked,1,,,insane,2,excited,5,,,jealous,1,creepy,2,bright,3,,,,,healthy,2,ugly,1,,,loud,3,fancy,1,holy,1,weird,1,,,stunning,1,busy,4,beautiful,5,dangerous,5,745515
424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,2,smooth,2,,,,,successful,2,safe,1,,,,,difficult,3,insane,2,excited,4,proud,3,,,healthy,1,bright,3,busy,2,loud,3,,,,,funny,2,loud,2,healthy,2,holy,1,lonely,3,strong,2,young,1,busy,3,,,,,554212
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,4,excited,3,innocent,3,adorable,4,,,safe,4,cold,3,strong,4,difficult,4,,,excited,4,healthy,4,,,healthy,5,,,,,,,healthy,4,strong,4,,,loud,3,,,,,weird,1,strong,3,young,4,busy,3,beautiful,2,expensive,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857436
381,,,excited,5,clean,5,broken,4,bitter,3,,,crazy,4,proud,4,difficult,4,,,creepy,4,healthy,5,jealous,4,creepy,4,adorable,4,busy,4,loud,4,healthy,5,,,holy,4,rough,3,,,deadly,4,,,,,,,nasty,4,,,expensive,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909696
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,4,smooth,1,innocent,1,christian,2,successful,2,weird,1,,,strong,3,,,lazy,2,excited,2,evil,2,dark,5,,,weird,2,busy,4,dark,5,wicked,1,,,holy,1,,,healthy,4,christian,2,,,strong,2,,,,,dead,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756359
1067,violent,3,smooth,4,,,,,,,safe,3,crazy,4,,,,,faithful,4,excited,4,,,,,healthy,3,weird,1,shy,3.5,,,wicked,3,strong,4.5,sexy,1,loud,1,healthy,5,deadly,5,insane,1,busy,4,young,3,busy,4,beautiful,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794154
413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,4,smooth,3,innocent,3,adorable,1,successful,3,extreme,3,cold,4,strong,5,,,,,,,proud,3,dark,5,healthy,4,weird,2,busy,4,,,,,strong,2,sexy,4,,,,,,,,,strong,2,young,5,nasty,1,beautiful,2,extreme,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593318
776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,1,smooth,1,innocent,1,broken,1,,,safe,1,clever,1,,,difficult,1,faithful,1,excited,1,,,dark,1,lonely,1,,,,,shy,1,,,strong,2,,,rough,1,smooth,1,deadly,1,weird,1,,,proud,1,busy,1,,,dangerous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582878
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,1,,,,,,,,,safe,3,crazy,1,strong,1,,,,,excited,3,healthy,1,dark,1,lonely,1,bright,1,gorgeous,1,dark,3,,,strong,4,holy,1,,,,,deadly,3,lonely,1,busy,3,proud,1,busy,1,beautiful,3,expensive,1,780489
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,1,clean,4,,,successful,1,,,,,proud,3,difficult,2,faithful,1,excited,5,healthy,1,,,healthy,2,adorable,1,busy,4,dark,5,healthy,5,strong,1,funny,1,loud,2,healthy,1,deadly,1,weird,1,,,,,,,,,expensive,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561233
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,5,excited,4,clean,4,christian,5,bitter,5,weird,5,,,strong,5,faithful,5,insane,5,,,healthy,4,,,lonely,5,,,gorgeous,5,shy,5,lazy,5,,,,,rough,5,healthy,4,christian,5,insane,5,strong,4,,,,,beautiful,5,,,620864
262,violent,2,excited,3,innocent,1,,,lonely,1,safe,1,,,proud,1,difficult,4,,,weak,1,,,jealous,1,lonely,1,,,,,loud,1,,,,,,,rough,1,fancy,1,deadly,2,insane,1,busy,2,proud,1,busy,1,dead,1,dangerous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538884
279,tired,2,,,clean,2,adorable,2,lonely,2,,,,,,,difficult,3,faithful,3,excited,2,healthy,4,,,healthy,3,bright,2,busy,3,loud,4,healthy,2,strong,3,holy,2.5,,,,,deadly,4,weird,2,busy,3,proud,2,,,,,expensive,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640351
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,3,smooth,3,,,,,successful,3,weird,2,clever,3,strong,3,difficult,2,lazy,2,,,,,dark,3,,,bright,3,busy,2,dark,2.5,lazy,2,strong,3,funny,3,rough,3,healthy,2,deadly,2.5,,,busy,2.5,,,,,beautiful,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524191
1436,violent,3,smooth,4,clean,2,broken,3,successful,1,,,cold,2,proud,3,,,faithful,3,excited,4,healthy,4,dark,4,creepy,4,bright,4,,,,,healthy,3,strong,4,holy,3,rough,4,healthy,5,,,lonely,4,,,,,,,,,dangerous,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898064
373,insane,2,excited,4,,,,,bitter,1,safe,2,crazy,2,strong,2,,,faithful,3,weak,2,healthy,3,jealous,2,lonely,2,,,,,loud,2,healthy,2,strong,3,funny,1,,,fancy,2,deadly,2,lonely,2.5,,,,,busy,2,dead,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830646
571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,5,excited,1,innocent,3,adorable,1,successful,3,safe,3,,,,,,,,,excited,2,evil,1.5,dark,5,healthy,1,weird,1,,,dark,5,wicked,3,,,,,,,,,christian,1,lonely,4,busy,1,proud,3,dead,2,dead,2,expensive,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748531
799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired,3,smooth,5,clean,5,adorable,4,successful,5,weird,5,,,,,,,,,excited,4,proud,4,jealous,3,,,,,gorgeous,4,loud,5,,,nasty,4,,,creepy,2,fancy,2,,,lonely,4,strong,5,proud,3,busy,5,beautiful,3,extreme,5,818523
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clean,5,broken,5,,,weird,2,crazy,4,proud,3,difficult,2,insane,4,excited,4,,,dark,2,healthy,3,bright,5,,,loud,3.5,healthy,5,strong,2,holy,5,,,smooth,2,holy,2,,,strong,5,,,,,beautiful,4,dangerous,5,527134
411,insane,1,,,innocent,1,broken,1,,,safe,1,cold,1,,,difficult,1,faithful,1,,,,,dark,1,,,bright,1,,,dark,1,,,strong,1,holy,1,rough,1,smooth,1,,,lonely,1,strong,1,young,1,dead,1,beautiful,1,dangerous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991003
1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,4,,,,,christian,3,successful,2,safe,3,clever,4,,,faithful,2,faithful,3,excited,4,,,,,,,weird,4,busy,4,dark,4,healthy,2,,,sexy,2,rough,2,healthy,4,,,insane,2,strong,3,proud,4,dead,3,beautiful,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973163
444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insane,1,smooth,2,clean,1,adorable,1,successful,2,extreme,1,,,,,,,,,excited,3,healthy,1,dark,5,healthy,1,bright,1,shy,1,dark,5,healthy,3,strong,1,,,,,healthy,2,holy,2,lonely,2,,,,,busy,1,beautiful,2,,,533822
1006,,,excited,4,clean,3,christian,4,successful,3,safe,4,cold,3,proud,4,faithful,4,,,excited,4,,,,,,,bright,4,busy,4,,,healthy,3,,,,,rough,4,healthy,4,deadly,3,,,busy,3,proud,4,busy,3,beautiful,4,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721428
526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,4,excited,2,clean,1,christian,1,successful,1,weird,3,cold,4,strong,3,faithful,1,faithful,2,excited,1,,,dark,5,,,bright,1,busy,4,,,wicked,3,,,holy,2,loud,4,healthy,5,christian,4,,,,,,,,,,,dangerous,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805270
589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,successful,1,safe,1,crazy,1,strong,1,difficult,1,lazy,1,,,proud,1,,,creepy,1,bright,2,shy,1,loud,1,,,nasty,1,holy,3,loud,1,,,,,lonely,2,strong,3,stunning,1,busy,3,beautiful,2,expensive,1,884057
357,violent,3,excited,4,clean,3,broken,3,successful,5,weird,2,,,proud,5,difficult,3,lazy,2,,,healthy,4,,,healthy,4,bright,3,busy,5,,,,,,,,,rough,3,,,deadly,3,lonely,3,busy,4,,,busy,4,beautiful,3,dangerous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721739
1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clean,3,,,successful,4,safe,4,cold,5,strong,5,difficult,3,,,,,healthy,3,dark,5,healthy,4,weird,3,busy,5,dark,4,,,strong,3,funny,3,,,,,christian,3,lonely,3,busy,4,young,5,dead,3,,,expensive,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864295
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insane,3,smooth,5,clean,4,broken,4,,,,,cold,3,strong,3,difficult,4,lazy,4,excited,4,,,dark,5,lonely,3,,,,,,,healthy,4,,,sexy,4,loud,4,smooth,3,deadly,4,,,strong,5,young,4,,,beautiful,4,expensive,4,982713
185,violent,3,excited,4,,,christian,3,,,,,clever,3,,,,,insane,3,excited,4,healthy,4,dark,3,creepy,3,bright,4,busy,3,dark,3,wicked,3,strong,4,funny,4,,,smooth,3,,,lonely,3,strong,4,proud,4,,,,,extreme,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656552
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent,3,excited,3,clean,3,christian,3,,,,,,,,,,,faithful,2,excited,3,healthy,2,,,healthy,2,,,busy,2,dark,4,lazy,1,strong,2,funny,2,loud,2,healthy,4,,,lonely,2,busy,2,young,3,dead,2,beautiful,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751652
646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clean,1,,,successful,3,,,clever,1,strong,1,faithful,1,,,,,proud,1,dark,1,lonely,1,bright,1,gorgeous,1,dark,1.5,healthy,1,strong,1,sexy,3,rough,1,,,holy,1,insane,1,,,stunning,1,,,beautiful,1,expensive,1,738492
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,5,clean,5,adorable,5,lonely,5,,,cold,5,wicked,5,faithful,5,insane,5,weak,5,,,fat,5,,,adorable,5,,,loud,5,lazy,5,nasty,5,holy,5,loud,5,healthy,5,holy,5,,,,,stunning,5,dead,5,,,,,754479
413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,4,clean,5,,,,,safe,4,clever,5,proud,5,,,faithful,4,,,evil,4,,,lonely,4,adorable,4,busy,3,dark,4,lazy,4,ugly,4,sexy,4,,,,,holy,4,,,strong,4,proud,4,nasty,4,dead,4,expensive,4,980727