Duration (in seconds),QID13,QID14,QID16,QID17,QID19,QID20,QID22,QID23,QID25,QID26,QID28,QID29,QID31,QID32,QID34,QID35,QID37,QID38,QID40,QID41,QID43,QID44,QID46,QID47,QID49,QID50,QID52,QID53,QID55,QID56,QID58,QID59,QID61,QID62,QID64,QID65,QID67,QID68,QID70,QID71,QID73,QID74,QID76,QID77,QID79,QID80,QID82,QID83,QID85,QID86,QID88,QID89,QID91,QID92,QID94,QID95,QID97,QID98,QID100,QID101,QID103,QID104,QID106,QID107,QID109,QID110,QID112,QID113,QID115,QID116,QID118,QID119,QID121,QID122,QID124,QID125,QID127,QID128,QID130,QID131,QID133,QID134,QID136,QID137,QID139,QID140,QID142,QID143,QID145,QID146,QID148,QID149,QID151,QID152,QID154,QID155,QID157,QID158,QID160,QID161,QID163,QID164,QID166,QID167,QID169,QID170,QID172,QID173,QID175,QID176,QID178,QID179,QID181,QID182,QID184,QID185,random
202,,,,,strong,2,,,,,,,,,,,,,,,proud,5,,,,,,,,,,,,,,,sleepy,5,stunning,3,talented,2,,,jealous,2,,,,,dying,5,,,,,,,,,,,weird,5,stunning,5,,,,,gorgeous,5,faithful,3,,,,,peaceful,3,,,faithful,4,,,,,clever,5,smooth,3,,,,,cute,4,strong,3,,,adorable,4,,,,,dirty,5,,,cute,3,,,336732
278,,,,,excited,5,excited,5,,,,,christian,5,,,,,heavy,5,,,,,,,gorgeous,4,,,,,,,sexy,5,sleepy,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gorgeous,5,weird,5,,,inspirational,5,peaceful,5,inspirational,5,,,excited,5,inspirational,5,,,excited,5,inspirational,5,,,,,,,,,,,cute,5,,,,,hilarious,3,cute,5,deadly,3,788193
240,faithful,2,wicked,1,,,,,talented,4,inspirational,4,tired,2,loud,3,,,hungry,3,proud,5,,,gorgeous,4,,,,,proud,4,,,,,,,dirty,3,,,,,,,,,,,dying,4,,,talented,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clever,5,,,creepy,3,,,,,strong,2,talented,4.5,,,cute,3,,,dirty,3,,,,,deadly,2,472022
302,faithful,3,lost,1,,,,,talented,2,,,ancient,1,ancient,2,adorable,2,hungry,1,proud,1,,,,,,,,,,,,,,,,,stunning,1,,,clever,2,dry,1,hungry,1,,,proud,1,successful,3,talented,2,,,,,,,,,,,jealous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,divine,2,fancy,1,,,,,,,,,faithful,2,,,,,,,deadly,1,734661
343,faithful,4,lost,2,excited,3,,,,,,,cute,4,,,comfortable,4,safe,4,holy,2,inspirational,2,,,,,,,,,,,,,,,,,,,cute,3,,,,,,,fresh,3,,,,,,,,,hungry,3,,,stunning,5,,,,,gorgeous,3,faithful,4,rough,3,,,,,inspirational,4,,,,,,,,,,,,,,,gorgeous,5,strong,3,,,,,,,,,dirty,4,,,cute,4,,,386680
349,,,,,,,excited,4,,,,,,,loud,2,,,,,,,inspirational,4,,,,,,,,,,,,,,,faithful,2,talented,2,cute,4,jealous,1,hungry,4,,,,,successful,3,funny,3,smooth,2,,,,,,,stunning,4,,,ancient,1,gorgeous,4,,,,,,,,,inspirational,5,,,,,,,clever,4,,,creepy,2,divine,5,,,faithful,1,,,,,,,,,dirty,4,,,,,,,488240
274,,,gorgeous,3,,,,,,,inspirational,3,,,loud,3,adorable,3,,,,,,,,,clever,3,,,proud,3,,,,,,,dirty,3,talented,3,,,,,,,,,,,,,funny,3,,,,,hungry,3,weird,3,,,,,,,,,faithful,3,,,inspirational,3,,,,,,,excited,3,,,clever,3,,,,,,,,,,,talented,3,,,cute,3,,,dirty,3,lonely,3,,,deadly,3,763640
326,,,wicked,1,,,,,,,,,,,loud,3,,,safe,2,,,,,,,,,,,proud,3,,,,,,,dirty,3,talented,2,,,,,hungry,2,confused,2,fresh,1,successful,2,innocent,1,smooth,1,,,,,,,stunning,3,,,,,,,,,rough,1,inspirational,3,,,,,hilarious,3,,,,,,,,,,,hilarious,2,,,hilarious,1,,,adorable,2,,,,,dirty,3,,,,,,,691051
356,faithful,4,wicked,2,,,,,,,inspirational,4,ancient,2,loud,3,,,,,proud,3,,,,,gorgeous,2,,,proud,3,,,gorgeous,3,peaceful,2,,,,,,,jealous,3,,,,,fresh,2,,,,,,,,,,,,,,,,,,,,,,,,,,,strong,3,inspirational,3,faithful,3,,,,,,,excited,4,,,divine,4,,,,,,,,,,,,,dirty,4,hilarious,3,cute,3,,,765697
305,faithful,1,,,excited,2,,,,,inspirational,2,,,,,comfortable,1,,,proud,1,,,gorgeous,3,clever,1,,,,,,,,,,,dirty,1,,,,,,,,,,,,,,,talented,1,smooth,1,,,,,,,,,wicked,1,,,,,faithful,3,,,,,,,,,faithful,2,clean,1,,,clever,3,,,clear,1,,,cute,2,,,,,,,,,faithful,2,dumb,1,,,,,cute,1,799247
146,,,,,excited,3,,,talented,3,,,,,wicked,3,,,,,,,smooth,3,gorgeous,3,safe,3,successful,3,,,,,gorgeous,3,,,,,talented,3,clever,3,,,,,,,,,,,talented,3,,,,,,,,,,,wicked,3,,,gorgeous,3,,,rough,3,wild,3,,,,,,,excited,3,,,,,,,,,,,cute,3,,,,,adorable,3,cute,3,,,,,,,,,cute,2.5,398286
440,,,,,,,,,,,,,cute,4,loud,4,,,,,,,,,,,,,successful,4,proud,3,,,gorgeous,3,,,,,,,,,dry,3,,,,,,,successful,3,talented,4,,,,,,,wet,3,stunning,3,,,,,gorgeous,4,,,,,,,strong,4,,,faithful,4,,,inspirational,3,clever,3,,,,,hilarious,3,cute,2,strong,3,talented,3,strong,2,,,,,,,,,,,,,731551
352,,,,,,,,,,,adorable,3,,,,,adorable,4,,,,,inspirational,3,,,,,successful,3,lonely,3,talented,3,,,golden,4,stunning,4,,,,,,,,,cute,3,fresh,4,,,talented,3,peaceful,4,,,,,,,rough,3,,,,,,,,,fresh,2,,,peaceful,3,,,,,,,,,,,,,,,divine,3,cute,3,,,,,,,,,faithful,3,inspirational,3,,,,,cute,4,311627
305,,,,,,,,,,,,,,,loud,5,,,,,,,inspirational,5,,,clever,5,,,,,talented,5,,,,,,,talented,5,clever,5,,,,,,,,,,,funny,5,,,difficult,5,,,wet,5,,,,,ancient,5,,,faithful,5,,,,,,,,,faithful,5,,,inspirational,5,clever,5,excited,5,inspirational,5,divine,5,,,,,,,,,cute,5,,,,,,,safe,5,cute,5,470881
398,,,gorgeous,3.5,,,,,,,,,,,,,adorable,3,excited,4,,,,,,,,,,,,,shy,3,,,,,,,,,,,dry,4,hungry,2,,,,,,,,,,,,,,,safe,4,,,cute,3,ancient,2,,,faithful,2,,,,,peaceful,4,,,,,,,inspirational,4,,,excited,3,inspirational,4,,,cute,3,strong,4,talented,3,,,,,healthy,4,,,dry,4,,,cute,4,509640
242,faithful,2,,,excited,3,excited,2,,,,,ancient,2,loud,2,,,,,,,,,,,,,sleepy,2,proud,3,,,,,,,stunning,1,,,,,,,,,,,,,,,,,smooth,2,,,,,weird,2,stunning,3,,,confused,2,,,,,,,,,,,,,,,excited,3,,,clever,3,,,,,divine,3,cute,3,,,,,adorable,2,cute,2,,,dirty,3,,,,,cute,2,769005
470,,,,,,,,,,,inspirational,3,,,loud,4,,,,,,,,,gorgeous,1,,,,,proud,1,talented,1,,,sleepy,1,,,talented,1,,,jealous,2,,,confused,1,,,,,,,,,poor,1,,,,,,,lazy,1,,,,,faithful,2,,,,,,,inspirational,1,faithful,3,,,,,,,,,creepy,2,,,,,,,,,adorable,2,cute,1,faithful,3,,,,,safe,1,hilarious,1,701915
190,,,,,,,excited,3,talented,5,,,,,,,adorable,3,,,,,,,,,clever,2,successful,3,,,,,gorgeous,3,,,,,sick,3,clever,3,,,,,cute,3,,,successful,3,,,,,,,,,weird,3,,,,,ancient,3,,,,,fresh,3,inspirational,3,,,inspirational,3,,,,,inspirational,3,,,,,,,divine,3,,,,,talented,3,,,cute,3,,,inspirational,2.5,,,,,,,501770
504,,,wicked,2,excited,3,,,,,inspirational,4,,,,,adorable,4,,,,,inspirational,4,gorgeous,3,stupid,2,,,,,,,,,,,,,talented,2,,,,,hungry,4,shy,3,,,,,,,,,,,fat,3,,,,,,,,,innocent,3,faithful,4,,,,,,,inspirational,4,,,,,funny,4,,,,,,,divine,5,cute,2,faithful,3,talented,3,,,,,,,,,,,,,cute,3,601149
337,,,,,excited,2,,,talented,4,inspirational,1,tired,2,loud,4,,,hungry,1,,,,,,,,,successful,1,,,,,gorgeous,1,peaceful,3,,,,,,,hilarious,1,,,,,lonely,1,,,,,,,,,,,,,,,,,,,,,,,,,,,strong,1,,,,,,,inspirational,2,clever,3,excited,2,,,divine,2,cute,1,,,,,,,cute,2,,,dirty,1,,,cute,1,,,740270
285,faithful,3,,,,,,,,,,,,,,,adorable,5,hungry,3,proud,5,inspirational,5,,,gorgeous,3,,,,,talented,4,gorgeous,4,peaceful,5,stunning,5,talented,4,cute,5,,,,,,,fresh,4,,,,,,,,,,,,,,,,,,,,,faithful,4,,,,,,,inspirational,5,faithful,3,,,,,,,,,,,divine,4,,,,,talented,3,successful,3,,,,,,,,,strong,3,,,725066
258,,,safe,1,,,excited,1,talented,4,inspirational,5,,,,,,,,,proud,3,,,,,,,,,proud,5,,,,,peaceful,4,dirty,1,,,cute,5,,,,,cute,1,,,successful,2,talented,3,peaceful,2,,,,,wet,1,,,,,,,,,,,,,,,peaceful,3,inspirational,5,expensive,2.5,,,,,,,excited,5,,,,,,,,,,,,,,,healthy,1,inspirational,1,,,,,,,575078
439,faithful,2,,,,,,,,,,,,,,,,,hungry,1,,,,,gorgeous,2,,,,,proud,1,,,sexy,2,clever,2,dirty,2,talented,1,,,,,hungry,1,cute,2,,,,,,,,,,,hungry,2,wet,2,,,,,ancient,1,,,,,,,,,,,,,faithful,2,,,,,pretty,2,,,inspirational,1,divine,2,,,,,,,,,,,,,dirty,2,lonely,1,cute,2,,,506339
166,,,,,excited,4,,,,,,,,,loud,5,comfortable,4,,,proud,4,,,,,,,,,,,talented,1,,,,,,,,,clever,4,,,hungry,3,shy,2,,,,,,,smooth,5,,,safe,3,weird,3,,,wicked,2,,,gorgeous,4,faithful,4,,,,,,,inspirational,5,faithful,4,,,,,clever,4,,,,,,,,,,,,,,,,,,,dirty,3,,,cute,2,hilarious,2,799030
578,,,,,,,,,,,inspirational,3,,,,,,,hungry,1,proud,3,,,gorgeous,4,,,successful,1,,,,,,,,,,,,,cute,2,dry,3,,,,,,,shy,2,,,,,,,,,,,,,,,ancient,1,,,faithful,2,rough,1,inspirational,3,,,,,,,,,inspirational,2,clever,3,excited,2,inspirational,2,,,cute,3,,,,,,,,,faithful,3,dirty,1,,,,,cute,2,470307
342,faithful,3,lost,4,,,,,,,,,cute,3,ancient,4,,,,,,,inspirational,4,gorgeous,4,,,,,,,,,,,peaceful,4,,,,,,,,,,,,,,,successful,4,,,sick,3,,,,,weird,4,,,,,,,gorgeous,4,,,adorable,4,,,,,funny,4,hilarious,4,,,,,,,,,,,,,cute,4,,,talented,4,successful,4,cute,4,,,dirty,3,,,cute,4,,,397554
603,,,,,,,excited,2,,,inspirational,5,,,,,adorable,2,hungry,4.5,proud,4,,,gorgeous,4,,,,,,,illegal,3.5,,,peaceful,2,,,,,cute,4,,,hungry,3,,,dying,2,,,,,,,,,fat,4,wet,2,,,,,,,,,,,fresh,2,,,strong,3,,,,,,,,,,,,,creepy,5,,,,,,,talented,3,adorable,2,cute,4,,,,,,,,,cute,1,675887
124,nasty,4,lost,2,,,hilarious,3,,,,,tired,3,ancient,3,,,,,sleepy,3,inspirational,4,,,,,,,lonely,3,bloody,3,sexy,3,,,dirty,2,,,,,,,violent,3,,,,,successful,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,2,illegal,3,,,lovely,3,dry,3,,,,,violent,3,ugly,4,,,,,,,,,,,safe,3,,,799717
292,,,,,,,excited,4,,,inspirational,4,,,christian,1,comfortable,3,hungry,3,,,,,gorgeous,4,,,,,proud,4,,,,,,,,,,,,,,,,,cute,3,proud,2,successful,4,funny,1,,,,,hungry,2,,,,,cute,2,,,,,,,adorable,4,,,,,,,,,clean,2.5,funny,1,clever,3,excited,3,,,,,,,,,,,,,,,,,dirty,3,hilarious,1,,,,,682839
248,faithful,5,wicked,2,ancient,2,excited,3,,,,,,,,,,,hungry,1,proud,3,,,,,gorgeous,4,successful,1,,,,,,,peaceful,2,,,,,,,hilarious,1,,,,,lonely,2,,,talented,3,,,,,,,wet,3,,,,,ancient,2.5,,,faithful,3,,,,,,,inspirational,5,,,,,,,,,,,,,divine,5,,,hilarious,1,talented,3,,,,,faithful,2,,,,,,,,,778828
795,faithful,2,,,,,,,,,inspirational,3,ancient,2,ancient,4,adorable,2,,,,,,,gorgeous,3,clever,3,,,,,,,,,sleepy,3,stunning,2,talented,2,,,,,,,confused,1.5,,,,,funny,3,,,,,,,wet,3,stunning,3,,,,,,,,,,,,,,,,,hilarious,3,excited,4,inspirational,3,clever,4,excited,4,,,,,,,,,,,,,,,faithful,3,,,,,,,,,737448
151,dry,3,lost,4,,,,,,,,,,,wicked,4,ancient,2,hungry,3,,,,,,,safe,3,,,,,,,,,,,,,empty,3,,,,,,,,,proud,3,shy,3,christian,3,,,,,,,weird,4,stunning,3,jealous,4,,,,,weird,3,adorable,3,inspirational,3,strong,3,,,,,,,,,,,,,,,,,,,violent,3,,,strong,3,wicked,2,,,,,,,,,,,753198
182,,,wicked,3,,,,,talented,3,,,,,,,adorable,5,hungry,5,,,smooth,4,,,,,successful,4,bitter,5,,,,,,,,,,,cute,4,,,hungry,2,,,,,successful,5,,,,,,,,,,,stunning,5,,,,,,,faithful,3,,,inspirational,5,,,dry,1,,,,,,,clever,3,lovely,4,inspirational,4,excellent,5,,,faithful,4,talented,4,,,,,,,,,,,,,,,573356
483,,,,,,,,,talented,4,,,,,loud,5,adorable,1,hungry,3,,,,,gorgeous,4,,,,,,,,,,,,,,,,,cute,3,hilarious,1,,,,,,,successful,2,,,smooth,3,,,,,wet,1,,,lazy,1,,,gorgeous,3,,,,,inspirational,3,,,,,,,,,,,clever,3,,,,,,,,,faithful,1,talented,3,adorable,1,,,,,dumb,1,lonely,1,,,cute,2,630087
282,,,,,excited,1,excited,1,,,inspirational,3,tired,1,,,adorable,2,,,,,inspirational,2,gorgeous,1.5,,,,,,,,,,,peaceful,2,,,,,,,,,deadly,1,shy,2,,,,,,,,,poor,2,,,weird,1,,,,,,,,,faithful,2,,,,,strong,1,,,faithful,1,,,inspirational,2,clever,3,,,,,,,,,faithful,1,,,,,,,faithful,1,,,,,cute,1,,,564890
436,,,,,excited,1,,,,,inspirational,1,,,,,,,hungry,1,proud,1,,,,,,,,,proud,1,shy,1,gorgeous,1,,,,,,,cute,1,,,,,,,,,,,talented,1,peaceful,1,,,,,weird,1,stunning,1,cute,1,,,,,faithful,1,,,inspirational,1,,,,,,,excited,1,inspirational,1,,,,,,,,,cute,1,,,talented,1,,,,,faithful,1,,,,,,,,,509422
543,faithful,3,,,,,,,,,inspirational,4,tired,1,loud,5,,,heavy,1,,,,,,,,,successful,3,,,,,,,,,,,,,cute,3,,,hungry,1,shy,2,,,,,,,smooth,1,,,,,,,,,jealous,1,ancient,1,,,,,fresh,1,,,strong,2,,,faithful,4,,,inspirational,2,,,,,creepy,2,,,,,,,,,,,cute,5,,,dirty,3,,,,,hilarious,2,571316
386,,,wicked,2,excited,4,,,,,,,,,,,,,hungry,4,,,,,,,,,successful,3,,,,,,,peaceful,3,stunning,2,talented,2,,,,,hungry,3,,,,,,,,,,,,,,,wet,3,,,lazy,3,,,gorgeous,5,,,,,,,,,inspirational,5,,,excited,4,inspirational,4,,,,,inspirational,3,divine,5,cute,4,,,,,adorable,4,cute,3,faithful,3,,,,,,,,,390095
532,faithful,5,,,,,,,,,,,,,,,adorable,3,heavy,1,,,,,,,gorgeous,2,successful,4,proud,5,illegal,1,,,,,faithful,2,,,clever,4,hilarious,2,,,,,,,successful,3,talented,1,,,jealous,1,,,,,,,,,,,gorgeous,4,,,rough,1,inspirational,3,,,inspirational,4,,,,,,,,,,,creepy,5,divine,5,,,,,,,,,,,,,,,,,,,deadly,1,549227
92,,,wicked,4,,,,,stupid,3,,,ancient,5,,,,,safe,3,proud,4,,,,,,,,,wicked,4,,,stupid,4,,,loud,5,,,,,,,,,,,lonely,2,wicked,3,funny,4,,,poor,3,,,innocent,3,hungry,3,,,,,,,weird,4,,,,,,,,,,,,,,,,,,,creepy,4,outdoor,4,,,,,wicked,5,strong,4,wicked,5,,,,,,,,,,,727626
458,,,wicked,1,excited,2,,,talented,5,inspirational,5,christian,1,,,adorable,4,,,,,,,gorgeous,3,,,,,,,shy,1,,,peaceful,4,,,talented,1,cute,3,,,hungry,4,shy,4,fresh,3,,,funny,4,,,,,,,weird,1,,,,,,,,,,,,,,,,,,,faithful,4,,,,,clever,3,,,,,,,,,,,,,,,cute,3,,,,,,,,,hilarious,3,461192
918,nasty,1,,,,,excited,2,,,,,,,ancient,1,comfortable,1,,,proud,4,,,,,,,,,,,,,,,,,loud,3,,,cute,2,,,,,,,,,shy,3,funny,2,,,,,hungry,4,,,,,wicked,1,,,,,faithful,4,rough,1,creepy,3,wicked,2,,,faithful,3,,,,,,,,,creepy,3,divine,1,,,hilarious,1,,,,,,,,,dirty,2,,,,,,,760289
408,,,lost,4,,,,,,,inspirational,4,christian,2,ancient,3,,,hungry,2,proud,4,,,gorgeous,5,gorgeous,2,,,,,,,,,sleepy,2,,,,,,,,,,,confused,3,,,,,talented,5,,,,,,,,,,,jealous,3,,,,,,,,,inspirational,3,,,inspirational,5,hilarious,4,,,,,clever,5,,,creepy,3,,,,,,,,,adorable,3,,,faithful,5,,,,,cute,2,,,532610
339,,,gorgeous,2,,,,,talented,2,inspirational,2.5,,,,,,,,,proud,1.5,,,,,,,,,,,talented,1,,,,,stunning,2,talented,2,,,,,hungry,1,,,lonely,2,,,talented,2,,,difficult,2,fat,3,,,,,jealous,1,,,,,faithful,2,,,,,peaceful,2,inspirational,4,faithful,3,,,,,,,,,,,divine,1,,,,,,,,,cute,2,,,,,hilarious,2,,,,,563329
377,faithful,4,,,excited,4,,,talented,5,,,tired,2,,,,,,,,,,,,,gorgeous,4,,,proud,3,,,,,,,,,talented,2,,,,,hungry,3,,,,,,,,,,,safe,1,,,,,stunning,4,cute,2,,,gorgeous,4,,,,,,,,,inspirational,4,faithful,4,,,funny,3,,,,,creepy,3,divine,3,fancy,3,,,talented,4,,,cute,4,,,,,,,,,,,608087
391,,,,,,,,,talented,1,inspirational,1,,,loud,5,adorable,2,heavy,1,,,,,,,gorgeous,1,successful,1,,,,,,,,,loud,1,sick,1,cute,2,,,,,,,,,,,,,,,,,,,,,stunning,3,wicked,2,confused,1,,,faithful,2,funny,1,,,,,,,,,,,inspirational,1,clever,2,smooth,2,,,,,,,,,,,,,,,faithful,5,,,hilarious,1,,,,,353672
436,,,lost,1,,,,,,,,,tired,4,,,,,hungry,3,proud,4,,,,,,,,,proud,5,,,,,peaceful,4,,,,,clever,4,,,hungry,2,,,,,,,,,,,difficult,3,hungry,4,weird,1,,,,,confused,1,,,tired,3,,,inspirational,5,,,,,,,excited,5,funny,4,clever,5,,,,,divine,3,cute,5,violent,1,,,,,,,,,,,,,,,,,724489
205,faithful,4,,,strong,3,,,talented,5,inspirational,4,cute,5,,,adorable,5,,,proud,4,smooth,5,,,,,,,,,shy,4,,,sleepy,4,,,,,,,,,,,,,,,successful,5,,,,,,,,,,,,,,,,,,,weird,4,,,inspirational,4,,,,,,,,,,,,,,,,,divine,5,,,hilarious,5,,,adorable,4,cute,4,,,dirty,5,hilarious,4,cute,4,,,572884
2197,,,,,excited,3,rough,2.5,,,inspirational,3,,,loud,2,,,hungry,2,,,inspirational,1,,,gorgeous,2,successful,1,proud,2,,,,,,,,,empty,1,,,jealous,2,hungry,2,,,,,,,,,,,poor,3,,,,,rough,2,,,,,,,,,funny,2,,,,,,,,,excited,3,,,clever,4,excited,3,creepy,3,,,,,,,,,,,,,faithful,2,,,,,,,,,349238
542,,,,,,,,,talented,2,inspirational,4,,,,,,,hungry,1,,,,,,,,,successful,1,,,,,,,,,dirty,2,,,cute,1,hilarious,2,hungry,1,,,,,,,,,,,safe,1,fat,1,,,stunning,3,cute,1,,,sick,1,weird,1,,,inspirational,2,,,inspirational,2,,,,,inspirational,2,clever,1,,,,,divine,4,,,,,,,,,,,,,,,hilarious,1,,,,,300747
657,faithful,1,gorgeous,1,,,,,talented,3,inspirational,3,,,,,,,,,,,,,,,,,successful,3,,,,,gorgeous,2,sleepy,2,dirty,1,,,cute,2,,,,,,,,,,,,,,,,,hungry,2,wet,1,,,cute,1,dangerous,3,,,,,,,,,,,,,,,,,,,clever,4,,,creepy,3,,,cute,2,,,,,,,,,faithful,2,dirty,1,dry,1,cute,2,,,416277
2537,faithful,4,,,,,,,talented,4,inspirational,3,,,,,comfortable,2,,,,,,,,,,,successful,4,,,,,,,sleepy,4,,,,,cute,3,dry,5,,,shy,3,dying,5,,,funny,2,,,,,fat,3,weird,1,stunning,5,,,ancient,4,,,,,,,,,,,,,faithful,5,,,,,,,,,,,,,gorgeous,2,hilarious,1,,,,,,,,,dirty,5,dry,1,,,,,653161
464,,,,,,,,,stupid,1,,,,,,,adorable,2,,,,,,,,,,,successful,2,proud,3,,,stupid,2,,,loud,2,,,,,hilarious,2,,,confused,1,,,wicked,1,,,,,,,fat,2,,,stunning,4,,,ancient,2,,,,,rough,2,,,wicked,1,inspirational,2,,,clean,1,,,,,lovely,1,,,divine,3,,,,,,,adorable,4,,,,,,,hilarious,1,,,,,372722
322,faithful,5,,,,,,,,,,,,,,,,,,,proud,4,inspirational,4,,,,,successful,4,,,talented,3,,,,,,,,,,,jealous,4,deadly,3,shy,1,,,successful,3,funny,4,smooth,3,,,fat,4,,,stunning,5,,,,,,,,,,,,,,,,,faithful,5,excited,5,,,,,,,,,,,,,,,,,,,cute,5,faithful,4,dirty,5,hilarious,2,safe,3,,,345502
1166,faithful,2,,,,,excited,2,,,,,,,,,ancient,2,,,proud,2,ancient,2,,,gorgeous,2,sleepy,2,,,,,,,,,,,sick,3,,,,,hungry,2,,,,,,,talented,2,,,poor,3,hungry,3,,,stunning,3,,,,,gorgeous,2,tired,2,,,,,peaceful,2,,,,,,,,,,,,,,,,,cute,2,,,,,adorable,2,,,faithful,2,dirty,2,,,,,,,479853
494,,,,,,,excited,3,,,inspirational,4,,,loud,4,,,safe,2,proud,4.5,,,gorgeous,5,clever,3,,,,,illegal,1,,,,,,,,,,,,,hungry,2,,,,,,,,,,,poor,3,,,,,,,,,,,gorgeous,4,,,adorable,2,inspirational,2,,,,,faithful,4,,,inspirational,4,clever,5,lovely,5,,,divine,2,,,,,talented,5,,,,,,,,,,,cute,2,,,368834
336,,,,,,,excited,2,talented,4,inspirational,3,,,loud,4,adorable,3,,,proud,5,inspirational,1,gorgeous,2,,,,,,,,,,,,,stunning,2,,,,,hilarious,1,,,,,,,successful,4,,,,,,,,,,,,,,,,,,,faithful,2,fresh,1,,,,,,,expensive,3,,,,,clever,3,,,,,,,,,hilarious,3,,,adorable,3,,,faithful,3,,,hilarious,1,,,cute,2.5,415244
2230,faithful,3,,,,,nasty,1,,,,,christian,2,,,,,hungry,3,,,,,,,gorgeous,2,,,proud,3,,,,,,,,,,,cute,5,,,hungry,1,,,proud,1,,,,,,,,,,,,,stunning,4,lazy,3,,,,,,,rough,1,inspirational,4,strong,2,inspirational,2,,,,,inspirational,5,,,,,creepy,3.5,divine,2,,,faithful,3,,,,,,,,,dirty,1,,,,,,,301820
426,,,,,,,excited,3,talented,5,,,ancient,4,,,adorable,4,,,,,,,gorgeous,5,clever,3,successful,3,,,,,,,,,,,,,,,,,hungry,5,cute,3,,,,,,,,,poor,3,,,,,stunning,4,,,,,,,faithful,4,rough,2,,,peaceful,3,,,,,,,,,,,excited,4,inspirational,4,,,cute,4,,,,,,,,,faithful,3,,,hilarious,3,,,hilarious,3,347262
1286,,,wicked,4,,,,,,,inspirational,5,,,,,comfortable,3,,,,,,,,,,,,,,,bloody,2,sexy,3,sleepy,4,,,,,,,,,,,,,fresh,3,,,,,smooth,2,poor,1,hungry,4,,,stunning,4,cute,1,,,gorgeous,5,tough,1,,,,,,,,,,,,,funny,3,,,,,inspirational,3,,,,,faithful,2,,,,,,,faithful,5,,,,,cute,4,deadly,4,685467