QID9,Q76,QID11,Q75,QID13,Q74,QID15,Q73,QID17,Q72,QID19,Q71,QID21,Q70,QID23,Q69,QID25,Q68,QID27,Q67,QID45,Q66,QID47,Q65,QID43,Q64,QID41,Q63,QID39,Q62,QID37,Q58,QID35,Q60,QID33,Q61,QID31,Q59,QID29,Q57
"This is the list of clues the clue giver could choose from: 
 CUTE  HOLY  CLEVER  FAITHFUL 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  DIFFICULT  FANCY  BROKEN 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  WILD  DIFFICULT  FRESH 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 ADORABLE  DANGEROUS  WILD  EVIL 


Select the two words that the clue giver wanted to communicate by choosing the clue: ADORABLE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  ADORABLE  STRONG  DIVINE 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  DYING  HEAVY  STUPID 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  WET  DIVINE  GOLDEN 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  WEIRD  SWEET  BLOODY 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 SLEEPY  STRANGE  BROKEN  BRIGHT 


Select the two words that the clue giver wanted to communicate by choosing the clue: SLEEPY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  STUNNING  STRONG  SMOOTH 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 LAZY  SLEEPY  DANGEROUS  EXCELLENT 


Select the two words that the clue giver wanted to communicate by choosing the clue: LAZY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 LAZY  DARK  WARM  LITTLE 


Select the two words that the clue giver wanted to communicate by choosing the clue: LAZY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEVER  HEAVY  ROUGH  BRIGHT 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEVER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 STUNNING  COLD  FRIENDLY  POOR 


Select the two words that the clue giver wanted to communicate by choosing the clue: STUNNING",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 UGLY  TRADITIONAL  QUIET  LOUD 


Select the two words that the clue giver wanted to communicate by choosing the clue: UGLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CLEVER  FAITHFUL  TALENTED  RICH 


Select the two words that the clue giver wanted to communicate by choosing the clue: CLEVER",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 STUNNING  SLEEPY  LOUD  SAFE 


Select the two words that the clue giver wanted to communicate by choosing the clue: STUNNING",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  WILD  EVIL  CRAZY 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 CUTE  COMFORTABLE  FAITHFUL  PROUD 


Select the two words that the clue giver wanted to communicate by choosing the clue: CUTE",How confident are you that the clue giver is referring to these two words?,"This is the list of clues the clue giver could choose from: 
 DEADLY  LITTLE  ANCIENT  COLD 


Select the two words that the clue giver wanted to communicate by choosing the clue: DEADLY",How confident are you that the clue giver is referring to these two words?
"{""ImportId"":""QID9""}","{""ImportId"":""QID82""}","{""ImportId"":""QID11""}","{""ImportId"":""QID81""}","{""ImportId"":""QID13""}","{""ImportId"":""QID80""}","{""ImportId"":""QID15""}","{""ImportId"":""QID79""}","{""ImportId"":""QID17""}","{""ImportId"":""QID78""}","{""ImportId"":""QID19""}","{""ImportId"":""QID77""}","{""ImportId"":""QID21""}","{""ImportId"":""QID76""}","{""ImportId"":""QID23""}","{""ImportId"":""QID75""}","{""ImportId"":""QID25""}","{""ImportId"":""QID74""}","{""ImportId"":""QID27""}","{""ImportId"":""QID73""}","{""ImportId"":""QID45""}","{""ImportId"":""QID72""}","{""ImportId"":""QID47""}","{""ImportId"":""QID71""}","{""ImportId"":""QID43""}","{""ImportId"":""QID70""}","{""ImportId"":""QID41""}","{""ImportId"":""QID69""}","{""ImportId"":""QID39""}","{""ImportId"":""QID68""}","{""ImportId"":""QID37""}","{""ImportId"":""QID64""}","{""ImportId"":""QID35""}","{""ImportId"":""QID66""}","{""ImportId"":""QID33""}","{""ImportId"":""QID67""}","{""ImportId"":""QID31""}","{""ImportId"":""QID65""}","{""ImportId"":""QID29""}","{""ImportId"":""QID63""}"
"god,country",,"god,performance",,"chocolate,performance",,"training,lady",,"beauty,performance",,"business,feelings",,"feelings,business",,"lady,dog",,"hair,lady",,"performance,dog",,"god,girl",,"area,girl",,"country,god",,"artist,beauty",,"heart,apple",,"god,country",,"chocolate,beauty",,"performance,dog",,"dog,night",,"beauty,performance",
"country,lady",,"god,chocolate",,"god,performance",,"beauty,lady",,"beauty,performance",,"business,feelings",,"feelings,business",,"lady,dog",,"hair,lady",,"performance,dog",,"god,girl",,"girl,god",,"country,god",,"artist,beauty",,"heart,artist",,"god,country",,"chocolate,beauty",,"performance,dog",,"dog,country",,"beauty,performance",
"god,lady",,"god,performance",,"god,performance",,"beauty,lady",,"beauty,performance",,"business,feelings",,"feelings,business",,"lady,dog",,"hair,lady",,"performance,dog",,"god,girl",,"area,girl",,"country,god",,"artist,beauty",,"heart,artist",,"god,country",,"beauty,business",,"girl,dog",,"dog,country",,"girl,beauty",
"country,lady",,"god,chocolate",,"chocolate,god",,"beauty,lady",,"beauty,legs",,"business,feelings",,"feelings,business",,"lady,dog",,"chocolate,lady",,"performance,dog",,"god,girl",,"girl,god",,"god,holiday",,"artist,beauty",,"heart,artist",,"god,country",,"chocolate,beauty",,"girl,dog",,"dog,country",,"girl,beauty",
"country,lady",,"god,performance",,"god,performance",,"training,lady",,"beauty,legs",,"business,feelings",,"birthday,business",,"lady,dog",,"hair,lady",,"performance,holiday",,"god,area",,"area,girl",,"country,god",,"artist,beauty",,"apple,artist",,"god,country",,"chocolate,beauty",,"performance,dog",,"night,country",,"beauty,performance",
"country,lady",,"god,performance",,"god,performance",,"beauty,lady",,"beauty,performance",,"business,feelings",,"feelings,business",,"lady,dog",,"chocolate,lady",,"performance,holiday",,"area,girl",,"area,girl",,"country,holiday",,"artist,beauty",,"heart,apple",,"apple,country",,"beauty,business",,"girl,performance",,"dog,country",,"girl,beauty",
"country,lady",,"god,performance",,"god,performance",,"beauty,lady",,"beauty,performance",,"business,feelings",,"feelings,business",,"lady,dog",,"chocolate,lady",,"performance,dog",,"area,girl",,"girl,god",,"country,god",,"artist,beauty",,"apple,artist",,"god,country",,"beauty,business",,"performance,dog",,"dog,country",,"beauty,performance",
"country,lady",,"god,chocolate",,"chocolate,god",,"beauty,lady",,"beauty,performance",,"business,birthday",,"feelings,business",,"lady,dog",,"chocolate,lady",,"holiday,dog",,"god,girl",,"girl,god",,"country,god",,"artist,beauty",,"apple,artist",,"god,country",,"chocolate,beauty",,"girl,dog",,"dog,country",,"girl,performance",
"country,lady",,"performance,chocolate",,"chocolate,performance",,"beauty,lady",,"beauty,legs",,"business,feelings",,"feelings,business",,"lady,dog",,"hair,lady",,"performance,dog",,"area,girl",,"area,girl",,"country,god",,"artist,beauty",,"heart,artist",,"god,country",,"chocolate,beauty",,"performance,dog",,"dog,country",,"beauty,performance",
"god,lady",,"god,performance",,"god,performance",,"beauty,lady",,"beauty,performance",,"business,feelings",,"feelings,business",,"lady,dog",,"chocolate,lady",,"performance,dog",,"god,girl",,"girl,god",,"country,god",,"artist,beauty",,"heart,artist",,"god,country",,"beauty,business",,"girl,dog",,"dog,country",,"girl,beauty",
,,,,,,,,,,"business,feelings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"god,lady",,"god,chocolate",,"god,performance",,"beauty,lady",,"beauty,performance",,"business,birthday",,"feelings,business",,"lady,dog",,"hair,lady",,"performance,dog",,"god,girl",,"girl,god",,"country,god",,"artist,beauty",,"apple,artist",,"god,country",,"chocolate,beauty",,"girl,dog",,"dog,country",,"girl,beauty",
,,,,,,,,,,,,,,,,,,,,,,,,,,"artist,beauty",,,,,,,,,,,,,