QID43,Q52,QID45,Q53,QID47,Q54,QID49,Q55,QID51,Q56,QID53,Q57,QID55,Q58,QID57,Q59,QID59,Q60,QID61,Q61,QID63,Q62,QID65,Q63,QID67,Q64,QID69,Q65,QID71,Q66,QID73,Q67,QID75,Q68,QID77,Q69,QID79,Q70,QID81,Q71,mTurkCode
Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,How confident are you that the word organizer will pick the correct words based on your clue?,mTurkCode
"{""ImportId"":""QID43""}","{""ImportId"":""QID93""}","{""ImportId"":""QID45""}","{""ImportId"":""QID94""}","{""ImportId"":""QID47""}","{""ImportId"":""QID95""}","{""ImportId"":""QID49""}","{""ImportId"":""QID96""}","{""ImportId"":""QID51""}","{""ImportId"":""QID97""}","{""ImportId"":""QID53""}","{""ImportId"":""QID98""}","{""ImportId"":""QID55""}","{""ImportId"":""QID99""}","{""ImportId"":""QID57""}","{""ImportId"":""QID100""}","{""ImportId"":""QID59""}","{""ImportId"":""QID101""}","{""ImportId"":""QID61""}","{""ImportId"":""QID102""}","{""ImportId"":""QID63""}","{""ImportId"":""QID103""}","{""ImportId"":""QID65""}","{""ImportId"":""QID104""}","{""ImportId"":""QID67""}","{""ImportId"":""QID105""}","{""ImportId"":""QID69""}","{""ImportId"":""QID106""}","{""ImportId"":""QID71""}","{""ImportId"":""QID107""}","{""ImportId"":""QID73""}","{""ImportId"":""QID108""}","{""ImportId"":""QID75""}","{""ImportId"":""QID109""}","{""ImportId"":""QID77""}","{""ImportId"":""QID110""}","{""ImportId"":""QID79""}","{""ImportId"":""QID111""}","{""ImportId"":""QID81""}","{""ImportId"":""QID112""}","{""ImportId"":""mTurkCode""}"
jealous,,clear,,stunning,,rough,,safe,,shy,,heavy,,strong,,excited,,weird,,faithful,,talented,,comfortable,,clear,,divine,,excited,,ancient,,funny,,strong,,adorable,,139767
christian,,ancient,,rough,,ancient,,hilarious,,dirty,,hurt,,divine,,ancient,,weird,,sexy,,talented,,confused,,clear,,cold,,excited,,clever,,rough,,heavy,,adorable,,969399
jealous,,violent,,ancient,,clever,,safe,,rough,,hurt,,sexy,,excited,,weird,,sexy,,talented,,comfortable,,ancient,,cold,,excited,,rough,,hungry,,strong,,adorable,,134023
jealous,,ancient,,stunning,,ancient,,clever,,shy,,dirty,,stunning,,excited,,weird,,attractive,,talented,,comfortable,,rough,,cold,,dirty,,rough,,rough,,ancient,,adorable,,218105
lonely,,ancient,,ancient,,ancient,,clever,,dirty,,heavy,,divine,,excited,,ancient,,faithful,,loud,,comfortable,,ancient,,clear,,broken,,rough,,rough,,strong,,adorable,,537999
jealous,,clear,,rough,,ancient,,clever,,shy,,hurt,,divine,,excited,,ancient,,faithful,,funny,,comfortable,,clear,,sick,,ancient,,ancient,,rough,,strong,,evil,,918820
jealous,,clear,,stunning,,clever,,clever,,dirty,,dirty,,strong,,excited,,stunning,,sexy,,talented,,comfortable,,clear,,clear,,excited,,clever,,rough,,strong,,adorable,,635035
jealous,,ancient,,ancient,,ancient,,clever,,dirty,,heavy,,divine,,ancient,,ancient,,faithful,,talented,,comfortable,,ancient,,clear,,excited,,ancient,,nasty,,ancient,,adorable,,109999
lonely,,outdoor,,rough,,clever,,clever,,rough,,dirty,,divine,,excited,,fresh,,faithful,,funny,,comfortable,,ancient,,cold,,excited,,ancient,,funny,,strong,,adorable,,308967
jealous,,ancient,,ancient,,ancient,,clever,,rough,,dirty,,stunning,,excited,,fresh,,sexy,,loud,,comfortable,,ancient,,divine,,ancient,,clever,,rough,,ancient,,adorable,,938296